,CID4515_TNBC,CID44971_TNBC,CID44991_TNBC,GSM4476486_TNBC,GSM4476487_TNBC,GSM4476489_TNBC,GSM4909253_N-PM0092-Total_LummHR-major (Breast),GSM4909253_N-PM0092-Total_Lumsec-basal (Breast),GSM4909253_N-PM0092-Total_Lumsec-major (Breast),GSM4909253_N-PM0092-Total_basal (Breast),GSM4909254_N-PM0019-Total_LummHR-major (Breast),GSM4909254_N-PM0019-Total_Lumsec-basal (Breast),GSM4909254_N-PM0019-Total_Lumsec-major (Breast),GSM4909254_N-PM0019-Total_basal (Breast),GSM4909255_N-N280-Epi_LummHR-major (Breast),GSM4909255_N-N280-Epi_Lumsec-basal (Breast),GSM4909255_N-N280-Epi_Lumsec-major (Breast),GSM4909255_N-N280-Epi_basal (Breast),GSM4909256_N-PM0095-Epi_LummHR-major (Breast),GSM4909256_N-PM0095-Epi_Lumsec-basal (Breast),GSM4909256_N-PM0095-Epi_Lumsec-major (Breast),GSM4909256_N-PM0095-Epi_basal (Breast),GSM4909257_N-PM0095-Total_LummHR-major (Breast),GSM4909257_N-PM0095-Total_Lumsec-basal (Breast),GSM4909257_N-PM0095-Total_Lumsec-major (Breast),GSM4909257_N-PM0095-Total_basal (Breast),GSM4909258_N-NF-Epi_LummHR-major (Breast),GSM4909258_N-NF-Epi_Lumsec-basal (Breast),GSM4909258_N-NF-Epi_Lumsec-major (Breast),GSM4909258_N-NF-Epi_basal (Breast),GSM4909259_N-NE-Epi_LummHR-major (Breast),GSM4909259_N-NE-Epi_Lumsec-basal (Breast),GSM4909259_N-NE-Epi_Lumsec-major (Breast),GSM4909259_N-NE-Epi_basal (Breast),GSM4909260_N-N1105-Epi_LummHR-major (Breast),GSM4909260_N-N1105-Epi_Lumsec-basal (Breast),GSM4909260_N-N1105-Epi_Lumsec-major (Breast),GSM4909260_N-N1105-Epi_basal (Breast),GSM4909261_N-PM0230-Total_Lumsec-basal (Breast),GSM4909261_N-PM0230-Total_Lumsec-major (Breast),GSM4909261_N-PM0230-Total_basal (Breast),GSM4909262_N-MH0064-Epi_LummHR-major (Breast),GSM4909262_N-MH0064-Epi_Lumsec-basal (Breast),GSM4909262_N-MH0064-Epi_Lumsec-major (Breast),GSM4909262_N-MH0064-Epi_basal (Breast),GSM4909263_N-MH0064-Total_LummHR-major (Breast),GSM4909263_N-MH0064-Total_Lumsec-basal (Breast),GSM4909263_N-MH0064-Total_Lumsec-major (Breast),GSM4909264_N-N1B-Epi_LummHR-major (Breast),GSM4909264_N-N1B-Epi_Lumsec-basal (Breast),GSM4909264_N-N1B-Epi_Lumsec-major (Breast),GSM4909264_N-N1B-Epi_basal (Breast),GSM4909265_N-PM0233-Total_LummHR-major (Breast),GSM4909265_N-PM0233-Total_Lumsec-basal (Breast),GSM4909265_N-PM0233-Total_Lumsec-major (Breast),GSM4909265_N-PM0233-Total_basal (Breast),GSM4909266_N-MH0169-Total_LummHR-major (Breast),GSM4909266_N-MH0169-Total_Lumsec-basal (Breast),GSM4909266_N-MH0169-Total_basal (Breast),GSM4909267_N-MH0023-Epi_LummHR-major (Breast),GSM4909267_N-MH0023-Epi_Lumsec-basal (Breast),GSM4909267_N-MH0023-Epi_Lumsec-major (Breast),GSM4909267_N-MH0023-Epi_basal (Breast),GSM4909268_N-MH0023-Total_LummHR-major (Breast),GSM4909268_N-MH0023-Total_Lumsec-basal (Breast),GSM4909268_N-MH0023-Total_Lumsec-major (Breast),GSM4909268_N-MH0023-Total_basal (Breast),GSM4909269_N-PM0342-Epi_LummHR-major (Breast),GSM4909269_N-PM0342-Epi_Lumsec-basal (Breast),GSM4909269_N-PM0342-Epi_Lumsec-major (Breast),GSM4909269_N-PM0342-Epi_basal (Breast),GSM4909270_N-PM0342-Total_LummHR-major (Breast),GSM4909270_N-PM0342-Total_Lumsec-basal (Breast),GSM4909270_N-PM0342-Total_Lumsec-major (Breast),GSM4909270_N-PM0342-Total_basal (Breast),GSM4909271_N-MH288-Total_LummHR-major (Breast),GSM4909271_N-MH288-Total_Lumsec-basal (Breast),GSM4909271_N-MH288-Total_Lumsec-major (Breast),GSM4909272_N-MH0021-Total_LummHR-major (Breast),GSM4909273_N-MH275-Epi_LummHR-major (Breast),GSM4909273_N-MH275-Epi_Lumsec-basal (Breast),GSM4909273_N-MH275-Epi_Lumsec-major (Breast),GSM4909273_N-MH275-Epi_basal (Breast),GSM4909274_N-MH275-Total_LummHR-major (Breast),GSM4909274_N-MH275-Total_Lumsec-basal (Breast),GSM4909274_N-MH275-Total_Lumsec-major (Breast),GSM4909275_N-PM0372-Epi_LummHR-major (Breast),GSM4909275_N-PM0372-Epi_Lumsec-basal (Breast),GSM4909275_N-PM0372-Epi_Lumsec-major (Breast),GSM4909275_N-PM0372-Epi_basal (Breast),GSM4909276_N-PM0372-Total_LummHR-major (Breast),GSM4909276_N-PM0372-Total_Lumsec-basal (Breast),GSM4909276_N-PM0372-Total_Lumsec-major (Breast),GSM4909276_N-PM0372-Total_basal (Breast),GSM4909277_B1-KCF0894_LummHR-major (Breast),GSM4909277_B1-KCF0894_Lumsec-basal (Breast),GSM4909277_B1-KCF0894_Lumsec-major (Breast),GSM4909277_B1-KCF0894_basal (Breast),GSM4909278_B1-MH0033_LummHR-major (Breast),GSM4909278_B1-MH0033_Lumsec-basal (Breast),GSM4909278_B1-MH0033_Lumsec-major (Breast),GSM4909278_B1-MH0033_basal (Breast),GSM4909279_B1-MH0023_LummHR-major (Breast),GSM4909279_B1-MH0023_Lumsec-basal (Breast),GSM4909279_B1-MH0023_Lumsec-major (Breast),GSM4909279_B1-MH0023_basal (Breast),GSM4909281_TN-MH0126_TNBC,GSM4909282_TN-MH0135_TNBC,GSM4909285_TN-B1-MH4031_TNBC,GSM4909287_TN-B1-Tum0554_TNBC,GSM4909288_TN-B1-MH0177_TNBC,GSM4909289_HER2-AH0308_HER2+,GSM4909290_HER2-PM0337_HER2+,GSM4909291_HER2-MH0031_HER2+,GSM4909292_HER2-MH0069_HER2+,GSM4909293_HER2-MH0161_HER2+,GSM4909294_HER2-MH0176_HER2+,GSM4909295_ER-AH0319_PR+,GSM4909296_ER-MH0001_ER+,GSM4909298_ER-PM0360_ER+,GSM4909300_ER-MH0032_ER+,GSM4909301_ER-MH0042_ER+,GSM4909302_ER-MH0025_ER+,GSM4909303_ER-MH0151_ER+,GSM4909304_ER-MH0163_ER+,GSM4909305_ER-MH0029-7C_ER+,GSM4909306_ER-MH0029-9C_ER+,GSM4909309_ER-MH0043-T_ER+,GSM4909310_ER-MH0043-LN_ER+,GSM4909311_ER-MH0056-T_ER+,GSM4909312_ER-MH0056-LN_ER+,GSM4909313_ER-MH0064-T_ER+,GSM4909315_ER-MH0167-T_ER+,GSM4909316_ER-MH0167-LN_ER+,GSM4909317_ER-MH0173-T_ER+,GSM4909318_ER-MH0173-LN_ER+,GSM4909319_mER-PM0178_ER+,GSM4909320_mER-MH0068-T_ER+,GSM4909321_mER-MH0068-LN_ER+,GSM5354515_HER2+,GSM5354521_HER2+/ER+,GSM5354522_ER+,GSM5354523_ER+,GSM5354526_ER+,GSM5354527_ER+,GSM5354528_TNBC,GSM5354529_ER+,GSM5354530_TNBC,GSM5354531_TNBC,GSM5354532_TNBC,GSM5354533_TNBC,GSM5354534_TNBC,GSM5354535_HER2+,GSM5354537_ER+,GSM5354538_ER+
TNFRSF1B,0.010645904,0.024685187,0.0152120795,0.029704941,0.031173527,0.024568766,0.00066849374,0.03358034,0.02285505,0.03633477,0.019117914,0.09080442,0.14515615,0.018993855,0.022377392,0.1802776,0.14731644,0.007317487,0.0058426647,0.14812681,0.22039494,0.031545106,0.0037316382,0.17367055,0.22585365,0.018577112,0.0068742777,0.25056607,0.36354578,0.039775565,0.003795231,0.05501059,0.040556535,0.0,0.0029349688,0.16007856,0.27569446,0.032973588,0.066727005,0.07101047,0.0040266407,0.005757696,0.06379243,0.11013778,0.031079166,0.012423824,0.030613065,0.11644411,0.011311091,0.3411819,0.5348573,0.01109209,0.0070279725,0.046304237,0.06326149,0.0034792693,0.008875469,0.32297546,0.07436143,0.0076988945,0.13129646,0.15329531,0.019711848,0.017408911,0.09566319,0.18816727,0.0019705957,0.0007714405,0.086815976,0.104773656,0.022063484,0.0019590058,0.09466572,0.17480774,0.024272453,0.010602302,0.084173225,0.10395378,0.0,0.010266877,0.06410848,0.10220796,0.024544371,0.0,0.078631006,0.09780647,0.005528829,0.11136934,0.15305805,0.039548118,0.00085192756,0.11004084,0.15459505,0.046251908,0.0026094452,0.09345242,0.13220969,0.038261347,0.0,0.076799735,0.09251213,0.033815164,0.004466958,0.03873464,0.059702218,0.038220648,0.0067903334,0.00404847,0.0009814001,0.093402445,0.04375342,0.0009993382,0.0060709105,0.009631195,0.0,0.0025206779,0.015750336,0.007904609,0.0022785154,0.004731018,0.003065842,0.016446617,0.023114953,0.003661524,0.0032079231,0.0035045694,0.0059227683,0.00792754,0.0,0.0,0.0025874544,0.0,0.005635358,0.010653795,0.010881791,0.009693341,0.05914889,0.0,0.002430627,0.0007495769,0.004838388,0.0031014378,0.0014497074,0.0,0.0,0.0,0.06266348,0.05628718,0.030915096,0.015234536,0.21940602,0.0127797015,0.016122568,0.004970428,0.010868428
PADI2,0.1612655,0.5958911,0.2981526,0.42495,0.7598374,0.16615686,0.006127252,0.035590466,0.040801078,0.0348924,0.014209303,0.042308103,0.081889994,0.021025863,0.0,0.028941466,0.08715195,0.012971708,0.008614275,0.14978783,0.25141814,0.18266743,0.0,0.12540074,0.21182281,0.30215758,0.0,0.048811946,0.10793628,0.0,0.0,0.014819986,0.029235778,0.01100171,0.0029798348,0.054814037,0.12378515,0.008674282,0.02708679,0.09868036,0.016909359,0.010412684,0.021101115,0.05558116,0.0454692,0.0,0.020470146,0.13765284,0.0,0.11726545,0.27993524,0.015087454,0.0031345224,0.04447968,0.08502404,0.0058182077,0.035731226,0.15324572,0.017418336,0.0,0.053737164,0.14252783,0.022732386,0.007233426,0.052394107,0.099320285,0.024363196,0.0,0.055574685,0.08787899,0.007793131,0.0029126767,0.06344315,0.08336612,0.0064940583,0.0,0.041692715,0.0053916285,0.0,0.0015613853,0.022570211,0.028496949,0.032566894,0.0,0.025592282,0.013856064,0.0025859417,0.04371747,0.07564263,0.023241393,0.0006513137,0.044329837,0.075447366,0.01845966,0.0,0.042124435,0.06855788,0.0040501477,0.001917974,0.0071730963,0.025400009,0.015873572,0.0,0.030033164,0.040106088,0.05737522,0.21890396,0.24998719,0.022214357,0.6717815,0.094967954,0.014943652,0.10911887,0.16323622,0.48741752,0.01940445,0.33651543,0.75311464,0.009681292,0.18815185,0.6480832,0.0016207624,0.015215492,0.005840351,0.005152864,0.015693737,0.018393504,0.008988,0.07119629,0.0,0.00089448126,0.011092691,0.023602882,0.036229525,0.19204715,0.13025396,0.0,0.0,0.004424877,0.13714717,0.30629534,0.001446024,0.17118791,0.025190614,0.006027992,0.03908552,0.05585084,0.2619659,0.4934589,0.3712877,0.0,0.15932901,0.01259274,0.0039107422,0.0012502418
PITHD1,0.5764384,1.0475297,1.0234727,0.26192293,0.25157806,0.83464104,0.42541707,0.3930332,0.38673788,1.0660158,0.3506363,0.4264576,0.30705875,0.8755788,0.30221167,0.31703672,0.27546844,0.7809474,0.31722593,0.27696994,0.22021581,0.51505893,0.24719246,0.2813218,0.25179076,0.5152086,0.22509891,0.37114832,0.27575007,0.62995905,0.31132585,0.4932702,0.42680928,0.87911975,0.26861015,0.31800643,0.18701601,0.7703792,0.3939154,0.54637283,1.4291933,0.43031618,0.42777923,0.33731523,0.5735363,0.43366548,0.42456704,0.48069754,0.5747969,0.684949,0.5710598,1.1525067,0.37202883,0.40547726,0.42189723,1.0632635,0.49601522,0.4942296,1.0527923,0.26843622,0.4197887,0.3723939,0.71824026,0.30648968,0.4010581,0.41852143,0.8597194,0.32180518,0.41562527,0.322662,0.84882754,0.36544898,0.3838599,0.25593284,0.76703733,0.31659645,0.4053166,0.4661969,0.7567757,0.36765832,0.42952803,0.39611316,0.64916855,0.3395501,0.46968,0.4144893,0.45833308,0.5577404,0.42381734,1.1254469,0.47022843,0.55804026,0.46942073,1.1357917,0.30604634,0.2684155,0.18353656,0.5402366,0.19066112,0.38462394,0.28017086,0.7663453,0.27129844,0.41590965,0.39888945,0.45840326,0.6677222,0.5286572,0.3848366,0.68527734,0.57759947,0.6208294,0.30168772,0.18734017,0.3345302,0.41308042,0.61109155,1.0389372,0.2315984,0.32882345,0.2763915,0.18727279,0.29353815,0.58922356,0.40197217,0.59903663,0.4561656,0.25218478,0.41016936,0.064148664,0.23528656,0.2693616,0.7560096,0.90009725,0.6895738,0.60051817,0.22920026,0.034588303,0.259091,0.829727,0.46367186,0.4965655,0.46792543,0.5162867,0.32425585,0.4145363,0.50549674,0.8358115,0.88329726,0.9390956,1.2289741,0.5700396,0.8410105,0.32540625,0.21028309
SFN,0.5004495,0.011522402,3.508956,1.1010416,0.679542,0.48902366,9.329027,8.264727,3.5585485,23.833548,3.1828685,2.364005,1.2038238,15.252461,2.8594043,1.7641456,1.3395017,12.569894,2.8585827,2.7715077,1.4138427,11.519,3.0906873,3.1669357,2.2941587,10.801854,4.1648593,4.1775465,2.1016088,24.025337,4.720315,5.638989,5.7143736,22.84758,2.436098,2.7453616,1.4994473,9.154626,3.0653822,1.3140548,15.288502,3.27261,5.439883,2.4035733,7.2248373,3.0869174,7.464297,4.982138,5.5085716,3.9657211,2.2417948,18.901268,2.2026138,2.8696692,1.9116322,8.505843,2.0989716,2.920739,18.513899,1.8528501,4.367994,2.4695623,21.982716,1.4437487,3.35122,2.1925645,19.45741,0.94079024,3.8806002,2.620062,7.6547894,0.8397198,4.401672,2.7061965,8.178888,3.079555,9.0770445,8.469423,2.1146517,2.6788383,5.3164887,3.3167446,7.8318524,3.2670858,7.363562,3.9887817,3.8012452,6.89267,3.856232,16.685844,3.8335416,7.015787,4.3651466,14.202365,1.8063895,2.612541,1.2385924,15.29572,2.0775192,2.534839,1.5003783,17.675201,1.9029596,3.5967724,2.3668125,4.875171,0.50970346,2.7419262,1.1680261,1.8047283,1.3603045,0.0036787004,0.56937027,0.30254248,0.035350386,0.0102480985,0.06838593,0.534965,1.742609,0.088588305,0.1328704,0.0,0.18346773,0.2892644,0.6300155,0.20763245,0.10851752,0.33314654,0.12948036,0.08624963,0.1283332,0.26290184,0.9097213,1.0282501,0.546253,0.3141787,0.61399066,0.46917212,0.282431,1.6163365,1.1129189,0.38737166,0.5174273,0.060792264,0.34182718,0.29850468,0.57618314,0.10857973,0.012873127,2.9108298,2.2899253,0.47723225,0.14504154,0.10126422,0.0074508116
RAB42,0.030618645,0.018468335,0.029550282,0.031182457,0.04364856,0.095109776,0.03509437,0.037171792,0.040136673,0.010107954,0.009913897,0.051331755,0.04174687,0.0051669474,0.017573638,0.053473774,0.020055505,0.010298487,0.012525232,0.08467449,0.04612524,0.017960947,0.01392074,0.07917737,0.04351081,0.03445174,0.012614296,0.17199229,0.091718234,0.045556925,0.008089242,0.023785142,0.015560559,0.0,0.027866775,0.0365508,0.044164434,0.0,0.018569808,0.027266113,0.00052238966,0.026619442,0.030398596,0.010393606,0.03021129,0.0,0.030687671,0.0,0.0066094063,0.0719152,0.04602311,0.0,0.015091971,0.08662822,0.06378673,0.0062213247,0.05086067,0.049746137,0.0145827355,0.01788152,0.072157115,0.04805623,0.0,0.012914579,0.04832678,0.040280573,0.010884422,0.010973647,0.027357029,0.025348337,0.002302274,0.013468555,0.025684647,0.014919293,0.008604579,0.036230635,0.096314214,0.08063153,0.08328011,0.02695783,0.04738856,0.021221763,0.0,0.04867809,0.040537577,0.0122368885,0.048475496,0.12179958,0.06713808,0.013379642,0.041673332,0.112881,0.104853965,0.0,0.017859902,0.07178584,0.020614179,0.0032589315,0.023049483,0.0594897,0.010572469,0.04303246,0.009145599,0.030338181,0.037288766,0.011710492,0.044200193,0.04147813,0.004290385,0.07654013,0.08863807,0.0012297234,0.0016471165,0.0024262604,0.0,0.0020403292,0.0020971957,0.3274463,0.002404088,0.0011565725,0.0076276986,0.010585729,0.022090882,0.005465926,0.0065190378,0.015147286,0.016514577,0.0071809636,0.0,0.0,0.0019769908,0.0,0.0011261529,0.0,0.010708395,0.011015836,0.23567519,0.04845574,0.015776418,0.0047339513,0.014861407,0.013911493,0.0036056957,0.0,0.0029095917,0.0,0.038296543,0.1347815,0.018809097,0.020751616,0.0,0.0308796,0.0021321694,0.006349584,0.0012065811
ZCCHC17,1.2478477,0.6750941,0.6244767,0.6739591,0.39227375,0.7409667,0.47993067,0.5669561,0.4317554,0.4937823,0.37232074,0.7059955,0.5738579,0.57653594,0.29488707,0.43122408,0.3641406,0.38557595,0.5029334,0.7721101,0.5897998,0.5759565,0.34304932,0.8204873,0.64778316,0.5454859,0.37255803,0.60223335,0.4635381,0.6928907,0.32922947,0.65114796,0.47339472,0.4770217,0.4814416,0.8758719,0.6245018,0.67032313,0.40858334,0.3755702,0.23657414,0.28648117,0.6393802,0.5101153,0.40449128,0.4285985,0.56423455,0.47950798,0.5653703,0.8992299,0.7832079,0.45620382,0.38607618,0.77396625,0.4784948,0.42448005,0.3415086,0.35984054,0.27390254,0.36144415,0.54670346,0.43763134,0.35022312,0.3625552,0.49455613,0.45867342,0.4185972,0.49610627,0.72162044,0.55133015,0.4551387,0.4368585,0.66435003,0.54410905,0.47614938,0.37260705,0.72359806,0.5435679,0.6008332,0.34000975,0.6820096,0.52279794,0.47226822,0.4617274,0.7107957,0.52862287,0.57295024,0.7798622,0.6262735,0.3896616,0.5491739,0.74378484,0.6311965,0.38545564,0.49241662,0.8237562,0.66067666,0.4921549,0.66365623,1.1128763,0.8856017,0.6454373,0.4321606,0.9437369,0.6686305,0.50832295,0.9831935,1.0348333,0.53837544,0.6840665,0.8607939,0.58036375,0.36144644,0.2191198,0.44463715,0.42586088,0.41627526,0.4567104,0.49145988,0.3522193,0.27776563,0.480858,0.6179042,0.4934156,0.605106,0.8418722,1.0229065,0.42963383,0.3669379,0.18946713,0.19219662,0.1982525,0.607892,0.83531475,0.5277645,0.4919436,0.6411387,0.5362726,0.50166917,0.5213034,0.37857178,0.27570114,0.18388695,0.59783685,0.75222355,0.78327703,0.42484567,0.9038315,0.57497084,0.6063094,0.38792425,1.247251,0.39967355,0.27649793,0.4428298
DNALI1,0.00067987037,0.0074972357,0.00073264405,0.001179811,0.0,0.0021272146,0.3586003,0.02346521,0.009815257,0.057561643,0.36101687,0.018247044,0.0074199075,0.009829324,0.31011146,0.011327284,0.009623206,0.07741269,0.25964904,0.0056436965,0.0013306274,0.009391976,0.22890562,0.004297984,0.0,0.0068744197,0.5857485,0.0026976971,0.006665526,0.05850944,0.6018309,0.019983796,0.015959248,0.044017278,0.38705197,0.025422296,0.013529096,0.04254588,0.039484818,0.0,0.02329341,0.31174734,0.01575755,0.0,0.053533748,0.27634123,0.010617827,0.0,0.7109901,0.016392887,0.0221936,0.00708941,0.35479453,0.05512537,0.03419147,0.09766224,0.28244603,0.010335227,0.05796212,0.37665027,0.032921627,0.0,0.028294396,0.38625205,0.06290882,0.024243172,0.058539454,0.40262863,0.025229318,0.013579052,0.02556574,0.26038176,0.029604625,0.003714191,0.022815844,0.631555,0.010330576,0.006074743,0.5669131,0.5810367,0.03628589,0.034167383,0.052535847,0.5189318,0.01998878,0.0,0.449083,0.025759049,0.01613753,0.07050823,0.39020553,0.0066970284,0.0024185695,0.034082465,0.30735573,0.01081101,0.006841819,0.030676875,0.23306684,0.012590447,0.018324282,0.04061026,0.5590264,0.008893107,0.018068561,0.22562371,0.00095648045,0.0,0.00046154595,0.002687332,0.0030450039,0.36297858,0.0014796422,0.24794453,0.0,0.44114742,0.41744694,0.0012217994,0.011207487,0.4750173,0.3862433,1.0082226,0.44632405,0.24559087,0.46504965,0.7237646,0.50188553,0.60818434,0.446449,0.08829896,0.18635176,0.342246,0.0001562098,0.0,0.3034789,0.3453286,0.787777,0.21842965,0.0022036526,0.0013037958,0.16048636,0.17363235,0.3398666,0.43606356,0.6339259,0.0,0.64754635,0.00042132463,0.010278239,0.00021736605,0.0,0.0005197892,0.00076500647,0.33269107,0.29518902
C1orf109,0.23213993,0.17204764,0.24400166,0.09998306,0.18869534,0.32498315,0.12313388,0.19349517,0.15835194,0.6392392,0.17439139,0.34771,0.27461514,1.1078395,0.2103171,0.25144517,0.1637511,1.0301317,0.18058044,0.15616865,0.18036737,0.29728,0.17666616,0.18873698,0.12554413,0.36742812,0.109022506,0.17676644,0.20107314,1.0344943,0.18397821,0.35405594,0.30391693,1.232736,0.18524234,0.24802773,0.19637707,0.67371434,0.24432671,0.22711153,0.7116872,0.52573264,0.45722,0.427313,0.7928692,0.3815799,0.437424,0.5268826,0.18288971,0.3719851,0.38594586,1.2510866,0.23086037,0.31171435,0.25728968,0.78530586,0.29009512,0.32508504,0.7494559,0.26571718,0.30593917,0.29990953,1.2764275,0.20567194,0.25559083,0.26125342,1.1425353,0.20026639,0.28715026,0.21594733,1.0362332,0.20714511,0.28513804,0.29883856,0.9832648,0.28867495,0.32208157,0.3584729,0.39261287,0.23275675,0.37145546,0.32852554,0.715844,0.25971034,0.39100698,0.32314757,0.18780492,0.2835141,0.27964363,1.1438061,0.24020028,0.31913847,0.28284055,1.1186543,0.14084525,0.22065866,0.16389509,0.7802564,0.24071606,0.388504,0.30940187,0.4991305,0.22397761,0.48888803,0.36852816,0.73760164,0.1615116,0.23658091,0.28822923,0.15094371,0.24134219,0.11618966,0.15652178,0.11984332,0.31050205,0.10320974,0.079891734,0.5118806,0.05702958,0.16570769,0.04361323,0.20655027,0.11227628,0.19113447,0.13124987,0.22811991,0.13512662,0.063710794,0.12854674,0.28388685,0.26702973,0.0654426,0.116771445,0.11600637,0.16246392,0.19514439,0.086310215,0.04135837,0.11136935,0.15203756,0.105266795,0.20531009,0.10465175,0.2954914,0.087811366,0.22754598,0.08046407,0.4321903,0.17790385,0.20084085,0.046780143,0.22746958,0.16957855,0.08527932,0.117112316
MFSD2A,0.024665691,0.019498484,0.15109639,0.009628162,0.0009287507,0.043183036,0.08196858,0.058149308,0.08881052,0.8120934,0.14625427,0.16115811,0.20499028,1.7628529,0.057816815,0.11687042,0.22169966,0.7875137,0.04608939,0.04059738,0.07940805,0.70201486,0.03552552,0.03350824,0.05305995,0.7807323,0.09111689,0.120223835,0.3323409,1.8691024,0.05990029,0.20572793,0.20875669,1.6917477,0.060157567,0.25372005,0.24494664,1.7093791,0.13768278,0.18803301,1.851219,0.06645962,0.16516106,0.22336002,0.18217021,0.08405231,0.120756716,0.29790077,0.092818454,0.5012655,1.0251348,1.7981194,0.1578846,0.14072767,0.34369332,0.9278573,0.04484891,0.26739025,1.9513428,0.04327052,0.124627545,0.1257632,1.0941529,0.08031178,0.11654234,0.25694883,1.2895651,0.03908471,0.13835955,0.12390605,0.7551623,0.03635314,0.13531385,0.13660571,0.7505881,0.1698184,0.18028294,0.3303055,0.16677925,0.12336348,0.109537855,0.13776246,0.7813599,0.074081115,0.1267059,0.3071185,0.053437795,0.14481297,0.16266292,0.64654315,0.07179647,0.17277995,0.16196968,0.91213006,0.05634575,0.20264117,0.17147209,1.7198838,0.0050989343,0.24403979,0.13580114,1.0997843,0.08844363,0.19459397,0.21602677,0.32901183,0.046993997,0.11518351,0.4696334,0.03747528,0.07249826,0.18686752,0.014522675,0.07857688,0.42712268,0.04254771,0.12517086,0.0038163154,0.06338998,0.0077967215,0.12927103,0.010836618,0.005047243,0.12730993,0.0054921526,0.016667396,0.010220843,0.002670416,0.021298822,0.046627194,0.043124106,0.021175712,0.024767784,0.021345587,0.15064067,0.07703734,0.023035923,0.0,0.019091476,0.18950391,0.2641373,0.014210595,0.0315219,0.0106998235,0.025381746,0.14183754,0.056288995,0.0475624,0.030464122,0.13111459,0.03060363,0.028564956,0.021551877,0.022189084,0.0010154631
PDZK1IP1,1.7852367,0.3169919,1.7535373,3.5222685,1.9495147,0.15490514,0.5841633,1.6427246,2.1066039,0.3259562,0.45863828,1.8390696,2.2121844,0.08747011,0.45692074,2.9918978,2.7084723,0.14213724,1.6349728,4.3103824,4.80565,0.29140806,1.5363867,3.8385208,4.196076,0.23608047,3.5279896,13.860735,18.197727,0.5100379,0.38489908,1.2624805,1.9966835,0.06711132,2.1731052,4.4769397,6.22043,0.149834,1.886523,2.589904,0.10465784,0.927153,4.6807685,7.289063,2.4525762,1.3018329,4.6493797,6.071846,0.9264236,5.445471,6.75592,0.052841365,0.25996011,1.0344678,1.0405048,0.06515882,0.41808647,1.2866949,0.055126406,1.9547377,3.8846087,4.550233,0.18089907,2.3330235,3.770804,5.074548,0.30174375,0.77383304,1.7374941,2.3426042,0.029098066,0.76142836,1.6342747,2.3221343,0.0374667,0.34681916,0.5956119,0.3178526,0.77430296,0.8491888,2.5922134,2.9323077,1.1257818,0.57381517,2.723025,2.719867,1.1370702,2.8300543,4.09794,0.25868827,0.9003587,2.5900364,3.1140425,0.057945747,1.2998387,4.8578115,6.435201,0.3424873,1.3942436,2.710263,3.0218446,0.45584816,0.366486,2.0799968,2.6432815,0.6463139,1.0469979,5.6420317,1.4104089,0.49803755,1.4891125,0.027024848,0.88378716,0.23640686,1.3588941,0.039637562,0.2602673,0.74109054,2.7873223,0.3348273,0.084982134,0.0038277628,0.24814063,0.15639219,0.12355963,0.3030889,0.40372938,0.021698022,0.0,0.5866522,0.51612437,0.5070417,0.68896794,0.5058894,0.029337903,0.00199917,0.047329947,0.0,0.17554407,3.0275097,0.17893519,1.0266756,0.86950886,0.10701402,0.040483233,2.3065836,1.0702083,0.13823764,0.38517722,1.6690142,0.0,1.8345346,1.3373256,0.71605766,0.0018122619
