,ER+,HER2+,LummHR-major (Breast),Lumsec-basal (Breast),Lumsec-major (Breast),TNBC,basal (Breast)
TNFRSF1B,0.009212358,0.00629811,0.006650124,0.11651769,0.15416694,0.034860756,0.026009392
PADI2,0.058979545,0.17629682,0.0037719929,0.05255791,0.093476266,0.31901944,0.038567096
PITHD1,0.38965967,0.511441,0.3651488,0.41606724,0.36361337,0.70835376,0.83359903
SFN,0.37426394,0.4293192,3.017324,4.5011578,2.8427596,1.1393408,14.446896
RAB42,0.017346676,0.003463128,0.024129556,0.06077551,0.038946,0.05757739,0.011663198
ZCCHC17,0.48770759,0.41636133,0.4356494,0.69303507,0.5541912,0.74534196,0.4698536
DNALI1,0.37325445,0.18150581,0.4112431,0.020800728,0.01057189,0.0017792032,0.049345057
C1orf109,0.1387489,0.14589347,0.23233035,0.3070472,0.27675775,0.23139276,0.87421834
MFSD2A,0.035291232,0.15000015,0.07819532,0.16204527,0.2311391,0.07804158,1.1393186
PDZK1IP1,0.40565056,0.8166431,1.0790645,3.2773943,4.230517,1.4802045,0.34681168
TTC39A,0.8651177,0.4603049,0.5133673,0.044893347,0.030777154,0.22348325,0.03468353
PDE4B,0.12599869,0.2934853,0.4297931,1.2628156,2.1694736,0.3968864,0.5755999
SERBP1,1.9629905,2.825866,3.1569607,4.854186,4.0257344,5.179984,8.922869
ST6GALNAC5,0.03239927,0.013132424,0.006091222,0.15460348,0.17349552,0.11750129,0.018410178
ODF2L,0.4144105,0.68722993,1.0706363,0.34473228,0.3871615,0.7908998,0.3580669
SORT1,0.23943806,0.30015752,0.2762285,0.06103339,0.046581604,0.29213673,0.031958964
SLC16A1,0.05888116,0.107447356,0.049823165,0.22048117,0.16791548,0.19454327,0.67672384
MRPL9,0.57476395,0.48051316,0.3833256,0.6656858,0.5575343,1.0663486,0.29976273
S100A9,1.3877615,6.5875454,0.51826596,13.744328,17.85726,2.264913,0.63618964
S100A8,0.6026078,5.3263535,0.35643196,8.661475,15.847396,2.5819163,0.41574878
S100A7,3.3213673,2.66557,0.08146299,1.3972793,2.7664337,0.6341258,0.08717229
S100A1,0.9006838,0.61145717,0.060909107,1.4062647,1.2186121,6.2362084,0.2491695
GPATCH4,0.52217495,0.47707665,0.46627462,0.9284057,0.70097506,0.6682922,2.1514766
RGS16,0.2459789,0.6721603,0.073601335,0.027964642,0.027741285,0.5068112,0.5131274
ADORA1,0.043506127,0.016132118,0.004629969,0.04216584,0.06687099,0.03765426,0.005968783
CHI3L1,0.035027575,0.023548596,0.15325819,1.5576265,5.735882,1.9585629,0.23915067
NFASC,0.014209321,0.023294719,0.0036398224,0.011263492,0.01108932,0.062026322,0.3659788
C1orf115,0.10643764,0.24425592,0.15623784,0.034974743,0.037587434,0.10196478,0.023929186
CAPN8,0.27908963,0.059758477,0.656371,0.033637438,0.013659558,0.16065077,0.04844202
GALNT2,0.21772452,0.1594583,0.6610511,0.26249397,0.24074143,0.2702506,0.12143347
PLD5,0.0009008833,0.0014456904,0.0011186531,0.0012551479,0.0013563427,0.002311184,0.19456053
SLC66A3,0.6773918,0.32583243,0.2205317,0.0730667,0.05717013,0.35491168,0.025499461
SDC1,0.8632345,1.3414092,0.4309533,0.7352311,0.46698397,1.2108092,0.2163728
PTRHD1,0.8001081,0.7443324,0.29916638,0.55850637,0.7112865,0.7775309,0.2410634
SLC5A6,0.22639775,0.38227877,0.2871215,0.7125336,0.83764327,0.49613148,0.20657328
LBH,0.019471241,0.057236977,0.010398498,0.018491127,0.024301313,0.15102872,0.26103863
CEBPZ,0.43016297,0.44044936,0.63524914,0.8094208,0.698704,0.6683453,1.7900556
CYP1B1,0.085206605,0.23473576,1.8720174,2.9756067,5.4180675,0.4967798,0.872457
TMEM178A,0.003158431,0.0037660215,0.0037973432,0.00247303,0.003551925,0.0008097489,0.2477831
THUMPD2,0.13059981,0.14071125,0.20680353,0.20588742,0.18365347,0.21663144,0.5019738
LINC01819,0.0015932496,0.0005473804,0.002119126,0.09232462,0.10704251,0.0032071476,0.008543675
THADA,0.10235898,0.116905145,0.17336154,0.20176551,0.30853453,0.120289244,0.10197133
SPTBN1,0.30826044,0.36879647,1.1074946,0.34145242,0.29918623,0.5841973,0.2807225
MXD1,0.3197608,0.3328322,1.6532805,0.28685004,0.3133232,0.21059611,0.31461617
FAM136A,0.47520262,0.6107491,0.53277487,0.7206433,0.5284097,1.2558508,0.35224524
ACTG2,0.004281636,0.14370753,0.039997637,0.15883228,0.07819526,2.274657,10.830385
VAMP8,3.7085972,3.2415538,6.6434603,2.549297,2.1261058,3.01264,0.9246993
NEURL3,0.0023027111,0.0017204668,0.01677043,0.14975102,0.18872719,0.025754763,0.022186648
MALL,0.01969042,0.21207722,0.23851019,1.5536262,1.1099962,0.5055981,0.14327759
MARCO,0.0018549152,0.0029804863,0.0103023015,0.1396591,0.18807378,0.61038023,0.008656674
C1QL2,0.002153339,0.0053924415,0.001989078,0.07901133,0.06992612,0.031113667,0.0023529348
TFCP2L1,0.07625026,0.026657019,0.15679799,0.7112359,0.61990225,0.30299464,0.07663728
CYP27C1,0.002773738,0.0042918427,0.0010758425,0.009560591,0.0083321035,0.028355755,0.00017231754
LYPD6B,0.24880989,0.13454396,0.3438497,0.04089329,0.020583903,0.07594535,0.0351595
PLA2R1,0.073126085,0.0540319,0.077144295,0.17226733,0.25181046,0.08424343,0.059344627
DPP4,0.0007745097,0.0011905795,0.0003883502,0.017200215,0.027696704,0.018463992,0.005216992
STK39,0.1970177,0.056361172,0.26451054,0.04149627,0.022696052,0.04371408,0.057131317
NOSTRIN,0.23075685,0.14036211,0.13647029,0.010453165,0.008341556,0.03754565,0.0134752
ATP5MC3,3.589601,4.302996,2.8443158,3.4876277,2.6475503,6.3339543,2.2607741
SESTD1,0.22139551,0.24367101,0.4503525,0.8908323,0.97927886,0.4958302,0.37584728
INPP1,0.03718889,0.051055834,0.18170263,0.23779652,0.2044681,0.08829886,0.60936964
NRP2,0.00787,0.010563904,0.020704797,0.037220787,0.026623301,0.35244572,1.5788475
TTLL4,0.051640686,0.0753779,0.114044055,0.17654754,0.22991621,0.37334093,0.07313066
SPEG,0.04928544,0.05199273,0.055807315,0.12929572,0.10079916,0.13639252,0.04301814
DNER,0.03889983,0.01798364,0.009420303,0.14620574,0.20185408,0.037102863,0.04179231
EIF4E2,0.5606181,0.59955394,0.83220506,1.1728827,0.8511243,0.9146436,0.6790137
MLPH,2.2142246,1.2967983,1.0545411,0.08138498,0.0360547,0.25969377,0.13110273
GPC1,0.21219206,0.14298755,0.15566446,0.11673611,0.11368312,0.27424362,2.318469
STK25,0.32098442,0.37063342,0.36395738,0.53135335,0.40034795,0.64051,0.23011784
AC018816.1,0.13020088,0.052894503,0.13543142,0.01093828,0.0047965064,0.022054553,0.010612751
OXTR,0.02392153,0.04271823,0.026151676,0.020538263,0.023573885,0.013686933,1.7180458
GALNT15,0.0024555507,0.0004054561,0.006986181,0.045322232,0.09221129,0.0024978968,0.00850823
EIF1B,0.7904242,0.80362153,0.97775006,0.85534847,0.8367046,0.77702075,1.8757426
MAPKAPK3,0.17131443,0.22111352,0.17281324,0.25453752,0.18390721,0.1631917,0.11109035
NFKBIZ,0.68775654,0.8439741,0.65173376,1.5878962,2.2401896,0.6211803,1.049825
ZPLD1,0.0016471974,0.0027877605,0.0016128299,0.09278225,0.07622108,0.000702494,0.015306404
CD200,0.00634403,0.0017335839,0.012820499,0.01365344,0.0132594695,0.038694408,1.5621918
BOC,0.013944528,0.02436325,0.0042841285,0.018015213,0.022758296,0.1536439,0.43571356
MYLK,0.029671507,0.044321243,0.024786493,0.040350955,0.040055785,1.2400453,2.4494524
ARMC8,0.19897701,0.19483489,0.32303092,0.27395004,0.2722146,0.25952852,0.7429245
GPR87,0.005990471,0.008151147,0.020462908,0.033996932,0.04266707,0.02126547,0.29149643
AC080013.4,0.00021010956,0.0023161129,0.0010628778,0.017989883,0.030563854,0.0014039855,0.0018244415
RARRES1,0.06744275,0.8844756,0.19088054,4.0823474,7.0303097,4.502777,0.6372318
GPR160,0.8197156,1.1128486,0.25881237,0.02342066,0.010866509,0.16386718,0.03026884
IGF2BP2,0.00931793,0.007733111,0.06503991,0.57618433,0.65029657,0.12979403,0.18356244
RTP4,0.04477587,0.042745806,0.018841434,0.040807962,0.058906678,0.15887982,0.01099846
TP63,0.0024703094,0.010129996,0.00081158284,0.0024756105,0.0023156493,0.010515679,0.14426768
