,GSM3319036_Ovary Normal_eHormones,GSM3319036_Ovary Normal_eStromal,GSM3319040_Ovary Normal_eStromal,GSM3319041_Ovary Normal_eHormones,GSM3319041_Ovary Normal_eStromal,GSM3319042_Ovary Normal_eStromal,GSM3319043_Ovary Normal_eHormones,GSM3319043_Ovary Normal_eStromal,GSM3557960_Ovary Normal_eStromal,GSM3557970_Ovary Normal_eStromal,GSM3557971_Ovary Normal_eHormones,GSM3557972_Ovary Normal_eHormones,GSM3557973_Ovary Normal_eHormones,GSM4568674_Fallopian Tube Normal_secretory cell,GSM4568675_Fallopian Tube Normal_ciliated epithelial cell,GSM4568675_Fallopian Tube Normal_secretory cell,GSM4568676_Fallopian Tube Normal_ciliated epithelial cell,GSM4568676_Fallopian Tube Normal_secretory cell,GSM4568677_Fallopian Tube Normal_secretory cell,GSM4568678_Fallopian Tube Normal_ciliated epithelial cell,GSM4568678_Fallopian Tube Normal_secretory cell,GSM4568679_Fallopian Tube Normal_ciliated epithelial cell,GSM4568679_Fallopian Tube Normal_secretory cell,GSM4568681_Fallopian Tube Normal_ciliated epithelial cell,GSM4568681_Fallopian Tube Normal_secretory cell,GSM4568682_Fallopian Tube Normal_ciliated epithelial cell,GSM4568682_Fallopian Tube Normal_secretory cell,GSM4568684_Fallopian Tube Normal_ciliated epithelial cell,GSM4568684_Fallopian Tube Normal_secretory cell,GSM4568685_Fallopian Tube Normal_ciliated epithelial cell,GSM4568685_Fallopian Tube Normal_secretory cell,GSM4675273_Cancer,GSM4675277_Cancer,ov_GSE184880_GSM5599224_Ovary Normal_eHormones,ov_GSE184880_GSM5599225_Cancer,ov_GSE184880_GSM5599226_Cancer,ov_GSE184880_GSM5599230_Cancer,ov_GSE184880_GSM5599231_Cancer,ov_GSE213243_GSM6576367_Cancer,pan_blue_hgstoc_SOL012_Cancer,pan_blueprint_ovary_scrSOL004_Cancer
HSPG2,4.7362957,1.2858262,0.9600422,2.1538124,0.9515051,0.9640689,0.6484345,0.3143884,0.84206295,0.70647705,9.570391,2.016387,5.703177,0.28728712,0.10991263,0.111765444,0.21021967,0.15760326,0.13003813,0.22225744,0.17404658,0.3513111,0.42226696,0.13880314,0.012091148,0.3297504,0.15491587,0.10056304,0.0419935,0.13039435,0.14732607,0.7440107,0.45199192,1.9400309,0.89157015,0.24077134,0.82641155,0.30593565,0.5987681,0.40785924,0.261306
ID3,12.18052,6.267715,10.783078,6.9156094,9.929266,10.391171,15.154165,4.997245,10.961527,4.5666738,6.607258,12.453582,1.0965846,1.665405,0.7968011,0.38847244,2.9759674,3.5566227,0.5561341,1.3832115,1.180713,0.5907899,0.75948584,0.93267703,0.77083683,0.62617135,1.2108558,0.6282622,0.5003892,0.8992326,0.4829663,0.699212,0.87837327,0.37752256,0.18064877,0.06880304,0.25596988,0.23615481,0.071034424,0.13357861,2.7559605
PNRC2,1.065757,3.6448398,5.7609944,1.4718658,5.640013,4.6550865,1.4679638,4.655865,4.3098063,4.7189837,0.93724895,0.7018167,0.9946369,0.73365766,0.92051625,0.57181627,1.0808132,1.5974838,1.3718771,0.6915988,0.9438934,0.70843124,1.6297392,0.8110179,0.7731653,0.745119,1.5989121,0.9860157,0.75023097,0.4401425,1.1039655,0.8193058,0.98213595,0.5645907,1.1604524,0.6258271,0.5714536,0.7872766,1.0861601,0.5666544,0.3879387
STMN1,11.624529,8.90221,12.420304,27.367231,11.309212,10.3651085,19.34562,9.204931,17.199364,23.636913,22.069916,17.436981,35.602077,0.33040196,0.46051657,0.3320886,0.4573541,0.15143616,0.3592748,0.42859632,0.4415174,0.675603,0.2953813,0.8076316,0.5854347,0.6085056,0.49527302,0.9709022,0.5943977,0.6655623,0.8253704,9.262045,7.7641726,0.8821079,0.6373016,0.99519306,1.5369602,1.4800636,1.8541884,2.485469,6.320191
SH3BGRL3,0.78935343,0.54334515,0.55978227,0.7366138,0.23788685,0.37684068,1.0595064,0.6327584,0.5261042,0.59081686,1.8081478,3.6788583,0.67247146,0.87885964,1.4412979,1.4556955,1.7560799,0.9210528,0.9616664,4.099915,2.2521627,3.0606182,2.1542716,3.6869154,2.2772348,2.6126816,1.4443518,4.767877,2.8044653,2.0413132,0.9758221,4.737598,4.4964685,21.177156,1.9924872,1.4696945,1.1780174,2.0544658,3.7519214,4.169006,2.5597644
NUDC,1.5625316,1.9897844,1.8831898,2.341618,2.1368315,2.3083625,1.4422106,2.8293304,1.6399399,2.0153058,1.5544139,1.4233918,2.5886824,0.8201157,7.030294,1.406732,7.350336,1.2701347,1.1321381,5.4365687,1.4530734,7.659966,1.4106131,5.5019164,1.020223,7.119487,1.4454647,5.676862,1.2551113,10.751711,1.3450366,1.7359377,3.7588694,2.831194,0.8888549,0.81523335,1.2084756,1.0238966,2.8855207,1.1692071,1.5136291
MARCKSL1,6.249766,6.850451,4.484888,9.547669,3.6791968,4.646048,10.675646,5.1922956,8.370591,8.750363,6.5558925,8.239741,12.325704,1.1319759,0.4264259,0.92676866,0.43620685,2.2758183,0.31014442,0.5519621,0.61492497,0.06583164,0.8899645,0.43743077,0.92529404,0.05028661,0.36459517,0.8063188,2.6377966,0.12052365,0.12750769,4.5102797,3.3802147,3.0775766,2.2318945,3.5792227,1.5005987,1.9214984,1.7134781,5.911619,4.364074
SFPQ,5.03733,12.53731,7.3595705,3.2149675,7.533763,6.031295,3.7855244,7.5170116,8.627945,7.6795435,3.0454178,4.2242365,3.4334195,2.105249,1.161684,1.088722,2.6265645,2.361274,1.2653298,2.2927396,1.7827865,2.0376506,3.59925,1.9321179,1.9279923,1.8208476,2.4430315,2.67258,2.0078247,1.8159847,0.9024542,2.3827996,2.1144798,1.9365828,3.0015264,1.9275917,1.3741714,2.5574882,2.646558,0.91010326,1.9042199
TEKT2,0.0,0.019025637,0.0,0.005657607,0.0,0.0,0.008401782,0.0,0.0,0.004727226,0.0,0.04147573,0.0,0.042026162,2.0653954,0.11009806,2.9462352,0.08297092,0.09689014,3.1166356,0.17892466,4.3247604,0.21157865,2.7955015,0.09027773,4.3878284,0.24549322,3.1894763,0.08904512,2.7091036,0.077105775,0.012955882,0.2843339,0.0,0.12498214,0.04445537,0.052127555,0.037819218,0.669296,0.011423413,0.019983055
DNALI1,0.4397826,0.10292212,0.10073377,0.08982635,0.109375246,0.0,0.22154246,0.108377084,0.1238903,0.14661467,0.32395425,0.27213582,0.1257023,0.16479345,2.8684864,0.20266491,2.696542,0.17096789,0.3144706,2.690824,0.30268696,3.4433756,0.28236523,3.1709244,0.106431045,3.222866,0.43860856,3.3162684,0.18801239,3.9729326,0.23525423,0.38038504,0.86096615,0.15007955,0.32267255,0.2339007,0.58278525,0.1791842,1.2011441,0.08391493,0.284264
AKIRIN1,1.0511875,4.3619423,2.1533191,0.6733055,3.847939,2.3688738,0.555187,2.5872567,5.0133786,3.7319849,0.41372657,0.34243104,0.65519273,0.52642107,0.9053847,0.40971828,0.8227489,0.595134,0.23613018,0.6322798,0.5232546,0.4030831,0.3131141,0.67140424,0.5900572,0.32905298,0.38177893,1.056141,0.45811233,0.3053795,0.15013412,1.0371997,1.126888,0.41390845,0.5921492,1.0732045,0.9456648,0.48539183,0.78456277,0.3364548,0.49966368
FAM183A,0.0,0.0,0.0,0.017866757,0.0,0.0,0.0047064954,0.0,0.0,0.011122276,0.012348298,0.019972736,0.0,0.056618083,15.518701,0.49032402,21.429626,0.57139075,0.032667127,25.763893,0.8073029,23.573898,0.41497552,24.774778,0.27075812,21.753325,0.381933,19.285288,0.38350978,28.295864,0.12839408,0.0,0.113983974,0.0,0.05349953,0.015250184,0.029876355,0.004126638,0.649472,0.0062817973,0.14028518
RPS8,33.388714,35.610134,41.682156,47.659847,47.3221,44.898563,51.385326,43.705784,37.285767,30.579697,27.406109,25.030703,28.210648,55.835762,26.479315,44.599003,39.06584,118.662964,75.58791,27.508543,40.362514,32.254864,61.434822,26.752975,47.143795,31.84161,68.11094,27.072065,61.01937,49.5271,118.11883,25.973162,25.727444,27.113577,19.372343,31.396046,22.369186,14.943779,36.96053,42.51104,26.639595
CCDC17,0.006088861,0.02974884,0.0,0.0,0.018361839,0.0,0.008964542,0.0,0.008695381,0.008848866,0.0,0.017848352,0.0,0.12395264,1.9127843,0.04214581,2.1010072,0.10822283,0.0046686786,4.998457,0.16725776,3.7482796,0.17010367,4.2769876,0.045454558,4.1925173,0.1646183,3.699109,0.14883207,2.2554915,0.0026748867,0.019804679,0.018524783,0.0,0.01170215,0.0067233713,0.028355096,0.010933621,0.0030426274,0.0063883225,0.05135948
TSPAN1,0.0,0.0,0.0,0.0038062623,0.0,0.0,0.005579809,0.0,0.0,0.005112674,0.0,0.0,0.0,0.3663072,1.9823024,0.5342284,2.4953177,0.17126238,0.85656893,2.924062,0.25005674,5.0008097,0.19799967,1.984542,0.22082597,4.310732,0.26478773,1.8088284,0.30510035,3.6786528,0.7926627,0.9115521,0.26656154,0.037566442,0.23449586,0.055277936,0.50374454,0.24774717,2.6192315,0.25445426,0.07986968
