,GSM3319036_Ovary Normal_eHormones,GSM3319036_Ovary Normal_eStromal,GSM3319040_Ovary Normal_eStromal,GSM3319041_Ovary Normal_eHormones,GSM3319041_Ovary Normal_eStromal,GSM3319042_Ovary Normal_eStromal,GSM3319043_Ovary Normal_eHormones,GSM3319043_Ovary Normal_eStromal,GSM3557960_Ovary Normal_eStromal,GSM3557970_Ovary Normal_eStromal,GSM3557971_Ovary Normal_eHormones,GSM3557972_Ovary Normal_eHormones,GSM3557973_Ovary Normal_eHormones,GSM4568674_Fallopian Tube Normal_secretory cell,GSM4568675_Fallopian Tube Normal_ciliated epithelial cell,GSM4568675_Fallopian Tube Normal_secretory cell,GSM4568676_Fallopian Tube Normal_ciliated epithelial cell,GSM4568676_Fallopian Tube Normal_secretory cell,GSM4568677_Fallopian Tube Normal_secretory cell,GSM4568678_Fallopian Tube Normal_ciliated epithelial cell,GSM4568678_Fallopian Tube Normal_secretory cell,GSM4568679_Fallopian Tube Normal_ciliated epithelial cell,GSM4568679_Fallopian Tube Normal_secretory cell,GSM4568681_Fallopian Tube Normal_ciliated epithelial cell,GSM4568681_Fallopian Tube Normal_secretory cell,GSM4568682_Fallopian Tube Normal_ciliated epithelial cell,GSM4568682_Fallopian Tube Normal_secretory cell,GSM4568684_Fallopian Tube Normal_ciliated epithelial cell,GSM4568684_Fallopian Tube Normal_secretory cell,GSM4568685_Fallopian Tube Normal_ciliated epithelial cell,GSM4568685_Fallopian Tube Normal_secretory cell,GSM4675273_Cancer,GSM4675277_Cancer,ov_GSE184880_GSM5599224_Ovary Normal_eHormones,ov_GSE184880_GSM5599225_Cancer,ov_GSE184880_GSM5599226_Cancer,ov_GSE184880_GSM5599230_Cancer,ov_GSE184880_GSM5599231_Cancer,ov_GSE213243_GSM6576367_Cancer,pan_blue_hgstoc_SOL012_Cancer,pan_blueprint_ovary_scrSOL004_Cancer
FNDC10,0.29004404,0.033135597,0.056179333,0.30854207,0.062202074,0.018701153,0.0803348,0.0,0.039734814,0.04119447,0.30021164,0.4898111,0.2182208,0.005473911,0.0033776471,0.0018241446,0.003499168,0.0,0.0,0.007949427,0.0058724107,0.020657312,0.019211538,0.03064032,0.0,0.007254286,0.009365394,0.0023010224,0.013004906,0.0,0.024346976,0.048076995,0.036432087,0.3917789,0.1826695,0.15693043,0.15676339,0.056632794,0.13300847,0.0075406726,0.02472946
CFAP74,0.0,0.0,0.0,0.0,0.0,0.0,0.0081426,0.0,0.0,0.0,0.0,0.004783191,0.0,0.006590669,0.3073591,0.019262549,0.5111609,0.05156836,0.0,0.81209326,0.042926684,1.0093915,0.040499724,0.7323352,0.0015020481,1.007207,0.0,0.57394123,0.0,0.5354987,0.0026748867,0.0105276145,0.010741292,0.0,0.0070000174,0.0061586145,0.0023299586,0.0035287817,0.048350997,0.0003014164,0.0
PEX10,0.28658223,0.20746067,0.12088307,0.22441728,0.055928286,0.067494474,0.29038543,0.12598929,0.14476305,0.16531122,0.4489496,0.33355096,0.3533148,0.13541964,0.3060097,0.15845415,0.09920873,0.103394195,0.05938636,0.11899744,0.15541828,0.1102358,0.06476239,0.16729565,0.11111515,0.06844861,0.09160181,0.14730638,0.17601848,0.08614911,0.10853809,0.24417855,0.2670918,0.2723003,0.14540923,0.29851532,0.24647845,0.25089633,0.15364571,0.26320523,0.007765338
SPSB1,0.7506311,1.5755461,1.1858782,0.28420562,1.4685783,1.2251734,0.3495884,0.9471623,1.4107227,1.1515698,0.36796284,0.6747074,0.24710196,0.41034025,0.27006957,0.13024649,0.40870124,0.8616932,0.368029,0.66348726,0.80410504,0.2427602,0.42071557,0.38707262,0.44631156,0.19648112,0.25571048,0.6476816,0.3121655,0.18036547,0.23660843,0.4385672,0.46870488,0.17833965,0.18401851,0.1479593,0.3622253,0.16197887,0.089981765,0.16507423,0.09114738
SLC25A33,0.23994029,0.91622823,0.74789554,0.2735819,0.98028255,0.8407574,0.21201798,1.0891013,1.1999421,1.172281,0.19806474,0.139608,0.2821072,0.38012195,0.1910806,0.11493595,0.1622922,0.36766636,0.14835393,0.22190636,0.27792755,0.10016212,0.14350496,0.16642031,0.39156598,0.07437379,0.04632517,0.26765507,0.21770275,0.17366366,0.018930644,0.5132966,1.0298784,0.29971862,0.25067696,0.43950918,0.40023023,0.25149584,0.10131772,0.30969605,0.25884342
SESN2,0.22535296,0.90359044,0.74134254,0.091498695,0.41310862,0.26459444,0.113820344,0.4347617,1.0282261,0.8305383,0.056893412,0.12917826,0.2420724,0.082047045,0.07613032,0.012817043,0.115908846,0.18049826,0.02850998,0.073943995,0.029951463,0.08147721,0.11409573,0.044989087,0.047513567,0.031727728,0.06205036,0.17261241,0.092782825,0.083571754,0.026186151,0.27731675,0.16268705,0.038230274,0.25423875,0.19724387,0.11801759,0.17314576,0.1751623,0.10487304,0.12212248
SFPQ,5.03733,12.53731,7.3595705,3.2149675,7.533763,6.031295,3.7855244,7.5170116,8.627945,7.6795435,3.0454178,4.2242365,3.4334195,2.105249,1.161684,1.088722,2.6265645,2.361274,1.2653298,2.2927396,1.7827865,2.0376506,3.59925,1.9321179,1.9279923,1.8208476,2.4430315,2.67258,2.0078247,1.8159847,0.9024542,2.3827996,2.1144798,1.9365828,3.0015264,1.9275917,1.3741714,2.5574882,2.646558,0.91010326,1.9042199
RSPO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15160695,0.0013380148,0.037313316,0.008066445,0.20113887,0.16336934,0.018967206,0.07516967,0.008056394,0.14451827,0.0,0.05175144,0.008462713,0.16078645,0.0,0.010728458,0.010347316,0.03188589,0.035958182,0.0,0.0,0.69732827,0.0016038428,0.00080728234,0.0028766664,0.008835472,0.056420945,0.0
AKIRIN1,1.0511875,4.3619423,2.1533191,0.6733055,3.847939,2.3688738,0.555187,2.5872567,5.0133786,3.7319849,0.41372657,0.34243104,0.65519273,0.52642107,0.9053847,0.40971828,0.8227489,0.595134,0.23613018,0.6322798,0.5232546,0.4030831,0.3131141,0.67140424,0.5900572,0.32905298,0.38177893,1.056141,0.45811233,0.3053795,0.15013412,1.0371997,1.126888,0.41390845,0.5921492,1.0732045,0.9456648,0.48539183,0.78456277,0.3364548,0.49966368
PDZK1IP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015219476,1.6835564,0.04707513,0.17853422,0.04721298,0.48465762,0.59933704,0.03320418,0.357323,0.03881219,1.3928169,0.0015246446,0.10029464,0.07412966,1.9710214,0.011673674,0.20235595,0.0042009437,0.40035444,2.0381885,0.06742159,0.0,1.3726007,2.241353,0.10135698,1.7628443,0.41623473,1.5475719,0.047262553
