,4752-SL-0004_44_Pancreas Normal_Trunk,4752-SL-0004_5_Pancreas Normal_α,4752-SL-0004_70_Pancreas Normal_Acinar cell,4752-SL-0005_44_Pancreas Normal_Trunk,4752-SL-0005_5_Pancreas Normal_α,4752-SL-0005_70_Pancreas Normal_Acinar cell,4752-SL-0007_44_Pancreas Normal_Trunk,4752-SL-0007_5_Pancreas Normal_α,4752-SL-0008_44_Pancreas Normal_Trunk,4752-SL-0008_5_Pancreas Normal_α,4752-SL-0009_44_Pancreas Normal_Trunk,4752-SL-0009_5_Pancreas Normal_α,4752-SL-0009_70_Pancreas Normal_Acinar cell,4752-SL-0010_44_Pancreas Normal_Trunk,4752-SL-0010_5_Pancreas Normal_α,4752-SL-0010_70_Pancreas Normal_Acinar cell,4752-SL-0011_44_Pancreas Normal_Trunk,4752-SL-0011_5_Pancreas Normal_α,4752-SL-0011_70_Pancreas Normal_Acinar cell,4752-SL-0012_44_Pancreas Normal_Trunk,4752-SL-0012_5_Pancreas Normal_α,4752-SL-0012_70_Pancreas Normal_Acinar cell,4752-SL-0022_5_Pancreas Normal_α,4752-SL-0023_5_Pancreas Normal_α,4752-SL-0024_5_Pancreas Normal_α,4752-SL-0025_5_Pancreas Normal_α,4752-SL-0026_5_Pancreas Normal_α,4752-SL-0027_5_Pancreas Normal_α,GSE155698_AdjNorm_1_44_Pancreas Normal_Trunk,GSE155698_AdjNorm_1_70_Pancreas Normal_Acinar cell,GSE155698_AdjNorm_1_8_Pancreas Normal_Trunk,GSE155698_AdjNorm_2_70_Pancreas Normal_Acinar cell,GSE155698_AdjNorm_3_70_Pancreas Normal_Acinar cell,GSE155698_PDAC_2_Cancer,GSE155698_PDAC_3_Cancer,GSE155698_PDAC_5_Cancer,GSE155698_PDAC_6_Cancer,GSE155698_PDAC_7_Cancer,GSE155698_PDAC_8_Cancer,GSE155698_PDAC_9_Cancer,GSE155698_PDAC_10_Cancer,GSE155698_PDAC_11A_Cancer,GSE155698_PDAC_11B_Cancer,GSE155698_PDAC_13_Cancer,GSE155698_PDAC_15_Cancer,GSM4730261_Cancer,GSM4730262_Cancer,GSM4730263_Cancer,GSM4730265_Cancer,GSM4730266_Cancer,GSM4730267_Cancer,pdac_GSE214295_GSM6603324_Cancer,pdac_GSE214295_GSM6603325_Cancer,pdac_PRJCA001063_T2_Cancer,pdac_PRJCA001063_T3_Cancer,pdac_PRJCA001063_T6_Cancer,pdac_PRJCA001063_T8_Cancer,pdac_PRJCA001063_T14_Cancer,pdac_PRJCA001063_T15_Cancer,pdac_PRJCA001063_T17_Cancer,pdac_PRJCA001063_T19_Cancer,pdac_PRJCA001063_T20_Cancer,pdac_PRJCA001063_T21_Cancer,pdac_PRJCA001063_T22_Cancer
HES4,2.9967208,0.071607746,0.18944624,2.505949,0.100113,0.18928765,1.2997785,0.052999243,1.3209409,0.04299953,1.4563202,0.062033825,0.27904817,3.0822358,0.13343818,0.19993074,3.5827417,0.1446175,0.16245891,3.929483,0.13965358,0.2964617,0.062154666,0.046790067,0.063375846,0.04328902,0.04087021,0.03558014,1.988218,0.07785505,0.44707066,0.048239302,0.007878476,0.7087374,0.48561457,0.8396002,0.36366218,0.18481997,0.299328,0.7921714,0.45903963,0.37890008,0.5591801,2.801837,1.148829,0.59813386,0.3865342,0.68569744,0.36832675,1.7617838,0.6149207,0.9703875,2.115571,0.30571795,0.8909556,0.8844372,1.182616,0.5437127,0.6738707,0.5036778,0.90698344,0.6715998,0.6371457,0.28771812
CTRC,0.22867353,0.14537832,23.77833,0.20247965,0.1717356,20.207546,0.017756393,0.032582317,0.060192373,0.039041687,0.046606965,0.051310822,19.056843,0.2708271,0.290208,53.21864,0.3314025,0.33503953,54.999786,0.31893867,0.24712558,49.22092,0.0,0.0,0.0,0.0061259824,0.010525086,0.013197824,2.4156744,231.32501,3.7754052,153.17233,241.7903,0.0,0.0027867972,0.008831007,0.0,0.0,0.0,0.0,0.07194953,0.0,0.0,0.0033030715,0.0007555644,0.0,0.0030683994,0.0011594757,0.0024758866,0.001176797,0.0,0.0061323973,0.8370299,0.4026085,0.01889795,1.9208158,0.024063494,0.004714414,0.6832939,0.008360071,0.01636189,0.037808087,0.34717992,0.0006439179
CELA2A,0.18277404,0.069564916,15.125954,0.12296173,0.075905256,12.973867,0.007817797,0.008424834,0.015649505,0.010056616,0.023065275,0.009204526,8.388452,0.14141327,0.10908261,24.15203,0.15768228,0.13540258,25.954586,0.15136947,0.12025803,23.719465,0.0,0.0,0.0008327972,0.0005814921,0.0010747551,0.0013743325,2.1082275,355.20245,2.376021,299.7505,250.58736,0.0,0.0026306876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001148025,0.001138616,0.0,0.0009814067,0.0,0.0,0.0,0.0,0.00063521677,0.40501052,0.008011091,0.0,0.30930153,0.022417398,0.0,0.19557717,0.003169134,0.003036343,0.012254315,0.024562027,0.0
CELA2B,0.0,0.0072457814,1.3650612,0.028811198,0.009097703,1.1609635,0.0,0.0022734234,0.0,0.0015393329,0.0067677735,0.0019121529,0.7782271,0.022738066,0.026300443,4.1607513,0.03291436,0.02797061,4.3336725,0.026207434,0.028219715,3.08894,0.0,0.0,0.0,0.0,0.0,0.0,0.42416623,54.91579,0.5633253,33.42295,32.452938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001204707,0.20327388,0.003164859,0.0,0.06615396,0.0009545394,0.0,0.03363568,0.0005257266,0.0,0.0091184275,0.02073195,0.0
CELA3B,0.3455661,0.19682157,53.974575,0.50716,0.21775305,46.997726,0.06738581,0.03917792,0.08127495,0.03706235,0.09180129,0.06585256,38.29353,0.45156464,0.3906591,100.249115,0.6143346,0.5010361,106.39427,0.591693,0.44818845,102.924644,0.0,0.0003566834,0.0,0.00291841,0.008013413,0.0057152268,2.5441737,292.63297,3.0378287,248.44571,294.61517,0.0,0.001489456,0.0032649967,0.0,0.0031552766,0.0,0.0,0.0,0.0028923214,0.0,0.0004325445,0.002088529,0.0,0.0018473538,0.0026444285,0.0015632313,0.0,0.0,0.0064997305,1.0549593,0.14178632,0.0,0.3519455,0.0022811329,0.0056930264,0.25238588,0.003436231,0.0049419673,0.01498467,0.06282788,0.0
CELA3A,0.90130526,0.54107994,139.35939,1.1267289,0.5707224,125.6724,0.1591157,0.068182126,0.12743318,0.064416036,0.13149467,0.0986925,64.50872,1.1470324,0.9790918,234.24927,1.2208306,1.1078717,256.59085,1.1770433,0.97194046,234.35725,0.0009605743,0.0003432355,0.0,0.018805347,0.024747815,0.01989396,1.2621796,149.91971,1.8784596,252.54797,191.37,0.0,0.0,0.0014467015,0.0,0.0,0.0,0.0,0.0,0.0056834295,0.0,0.0007455418,0.0,0.0,0.0,0.0024264485,0.001870815,0.0,0.0,0.014844139,1.8410056,0.27648154,0.0,0.9536548,0.02226244,0.00054879737,0.69191223,0.0048886365,0.02517711,0.040447544,0.36658067,0.0
TINAGL1,2.7450888,0.029607875,0.092310436,2.3345253,0.029364202,0.098541126,2.5736291,0.02925654,2.6743572,0.024753014,2.2010221,0.02387864,0.0073716235,5.1331487,0.02958264,0.10385673,5.724842,0.029150743,0.07871817,5.7870502,0.033185,0.041672636,0.0067952108,0.005159233,0.0030626494,0.0073290295,0.010639646,0.011308379,1.2272251,0.044907864,1.5631621,0.013506022,0.0021818972,4.445485,1.7515694,1.432427,0.72339404,1.9053843,6.0965767,2.6469095,0.62583864,0.9130612,0.583382,3.6244001,2.9501886,0.23046027,1.0269651,2.698548,0.6156964,2.224474,0.38250175,1.6313775,1.7713273,1.2796215,1.7726877,1.7631859,2.3403833,2.562711,2.1375816,0.93732,1.7399169,1.5681795,0.7978017,1.0690929
MARCKSL1,3.208064,0.21601981,1.1206832,2.938675,0.23159711,1.0553986,4.656721,0.31932816,4.4521866,0.30300024,3.8427649,0.26072317,1.1188725,1.883188,0.30317926,0.73557323,2.200808,0.3355065,0.5898818,2.5192232,0.33857128,0.7864797,0.22570401,0.33241898,0.29573625,0.20537555,0.22448716,0.24369368,1.8622508,0.061043516,4.6340003,0.05209277,0.03854825,2.7303817,7.455869,3.4944499,0.8921252,8.083709,1.8277454,3.6590965,5.2979555,4.757961,3.648207,3.3925383,2.7982256,0.7572747,2.5816548,4.148775,8.213762,3.1548753,0.94078815,4.12426,5.234033,8.578887,3.0908136,7.858116,5.136626,6.372254,6.4537344,3.2511463,5.376783,4.744587,3.148679,3.7312982
RPS8,31.71749,25.36182,45.667854,29.431446,24.70965,45.738102,29.4632,27.894651,30.454422,27.52468,33.793827,29.919147,59.147694,23.267517,20.689058,39.614357,21.37488,17.42674,33.117172,22.38868,21.637493,40.927155,23.198095,21.681591,21.549618,25.366077,23.473227,23.311272,22.509287,12.625078,24.020044,8.4978075,7.9926844,11.041145,30.640575,26.395119,29.458914,24.379948,12.648587,21.807507,31.692606,27.284523,33.268883,23.218266,19.402855,16.672024,26.059147,25.647675,23.0255,30.576103,17.17441,8.669763,18.930101,27.771597,17.076244,15.664002,22.281189,14.783534,17.811607,35.780766,24.003254,37.573025,20.200771,21.370693
PRDX1,6.7201643,1.3692043,2.0709715,6.3767567,1.3469739,1.6464568,9.783113,1.6806481,9.383131,1.7362548,7.9714446,1.6585152,2.5925164,9.790835,2.2843077,4.0836954,10.959463,2.7034929,4.519667,7.433759,1.6309664,3.1778336,1.7787961,1.9462354,1.9814231,1.0013539,1.1395494,1.1173784,5.3340945,0.1888598,9.303375,0.17457624,0.1294558,2.6559331,5.964088,5.625181,2.4031587,4.2304516,2.9651995,5.614707,8.650181,8.880672,4.5752544,8.674237,6.055488,1.3158842,3.1556492,3.900139,4.421273,3.642089,1.6551889,2.0743892,6.772365,5.614695,10.805758,5.0684476,9.069507,6.8634458,6.588805,6.5486765,6.6756787,5.98119,5.8730993,7.1051917
