,Cancer,Pancreas Normal_Acinar cell,Pancreas Normal_Trunk,Pancreas Normal_α
HES4,0.7745648,0.16117847,2.4624875,0.07425161
CTRC,0.14204569,94.085526,0.43250573,0.09587648
CELA2A,0.031898074,112.87274,0.3234401,0.03869734
CELA2B,0.010892888,15.075477,0.06017834,0.0074685114
CELA3B,0.0619716,142.7253,0.58832824,0.13668248
CELA3A,0.13709602,183.17506,0.805907,0.3190534
SERINC2,2.411317,0.43910012,2.6985512,0.25515953
TINAGL1,1.814466,0.053674057,3.3778765,0.0195052
MARCKSL1,4.352794,0.6176193,3.0626535,0.27395293
RPS8,22.97775,32.59199,27.155638,23.838795
PRDX1,5.465356,2.0648925,8.194752,1.66965
RAB3B,0.14554949,0.20273215,0.2163596,1.9610027
TACSTD2,6.073034,1.7448465,12.202076,0.055109274
CCN1,0.47376803,0.15578434,2.796419,0.015891379
CNN3,0.37179384,0.5753264,3.8042188,0.24888459
AMY2A,0.044632543,102.223656,0.25887048,0.015895417
RHOC,2.9636042,1.3809276,5.4129443,0.60434514
ATP1A1,3.2221065,0.7364338,5.2985473,1.0579194
S100A10,24.046099,2.5319383,18.168211,2.6153705
S100A11,33.857918,5.9713354,27.757294,2.6118214
S100A6,140.96793,8.614083,49.76494,8.392416
S100A16,3.8533807,0.23675871,4.158008,0.09189782
S100A14,4.9903364,0.04931796,2.2973504,0.007688716
S100A13,2.8926718,0.40591952,2.3609312,0.17384887
RPS27,47.96293,38.160023,34.77051,29.281183
RGS4,0.02725886,0.15110499,0.19151552,3.1329424
LAMC2,2.5135,0.1508665,3.006898,0.08260823
LAD1,1.6139352,0.4099529,1.9729631,0.019010633
ELF3,10.943085,0.8853723,4.9785185,0.67351305
NENF,1.4739158,0.8024831,1.7416034,4.6641817
GNG4,0.022293264,0.18840823,0.1536496,1.5723993
ERO1B,0.06985409,0.9131243,0.44398555,4.041621
QPCT,0.20420748,0.1306072,0.27149028,2.1187172
SPTBN1,2.9837656,0.65091,3.9975307,0.51628476
ANXA4,6.515272,0.5431391,12.46861,0.58741665
REG3G,0.01398872,2.0890067,0.007627318,0.0065611997
REG1B,0.1091011,124.03594,0.95980847,0.5237029
REG1A,2.1128116,350.4308,6.9383802,1.5450677
REG3A,0.1309153,7.3418,0.067192405,0.033332363
TMSB10,61.028206,15.408347,47.42136,5.8343225
MALL,1.6223729,0.12865755,3.2511687,0.036140773
CFC1,0.0,0.08409378,0.11873469,1.4703572
GCG,0.006947798,33.47824,43.548344,784.3029
FAP,0.010002603,0.10700628,0.10889662,2.0440602
SPC25,0.029246548,0.06691244,0.06756608,1.5239574
NEUROD1,0.0020810273,0.14247805,0.17186047,3.7936304
EEF1B2,7.247445,11.205823,7.5924816,3.9884868
CRYBA2,0.0035693091,0.69696695,0.9292912,13.922931
PTPRN,0.0042247833,0.4018499,0.49181387,4.7096925
SCG2,0.008067967,0.65263623,0.81697613,13.808017
SERPINE2,0.5369159,0.14942358,0.22874779,1.7308081
RPL32,30.2092,37.59501,27.146574,19.265108
RPL14,16.467909,25.663729,20.02836,11.084482
